P,um,Fluid,SAT,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
392266,16.80569903,Water,Pressure,0.00629434,0.792289009,3.58346447,0.000125873,0.018,0.00051,7,0.000314,0.001,0.6,1000
390000,16.75708805,Water,Pressure,0.0591102,94,200,0.00159025,0.05,0.0044,7,0.002,0.001,0.6,1000
390000,16.75708805,Water,Pressure,0.0344809,38,91,0.001102059,0.05,0.0044,7,0.002,0.001,0.6,1000
385000,16.64932431,Water,Pressure,0.0591102,89,195,0.001505662,0.05,0.00435,7,0.002,0.001,0.6,1000
385000,16.64932431,Water,Pressure,0.0344809,33,78,0.000957052,0.05,0.00435,7,0.002,0.001,0.6,1000
380000,16.5408585,Water,Pressure,0.0591102,84,184,0.001421075,0.05,0.0043,7,0.002,0.001,0.6,1000
380000,16.5408585,Water,Pressure,0.0344809,28,68.5880589,0.000812044,0.05,0.0043,7,0.002,0.001,0.6,1000
379000,16.51907988,Water,Pressure,0.0591102,82,205,0.001387239,0.05,0.00429,7,0.002,0.001,0.6,1000
379000,16.51907988,Water,Pressure,0.0591102,81,203.31,0.001370322,0.05,0.00428,7,0.002,0.001,0.6,1000
379000,16.51907988,Water,Pressure,0.058380444,80,199.2,0.001370322,0.05,0.00427,7,0.002,0.001,0.6,1000
379000,16.51907988,Water,Pressure,0.0591102,80,199.2,0.001353404,0.05,0.00427,7,0.002,0.001,0.6,1000
379000,16.51907988,Water,Pressure,0.058380444,79,189.6,0.001353193,0.05,0.00427,7,0.002,0.001,0.6,1000
379000,16.51907988,Water,Pressure,0.056902459,77,169.4,0.001353193,0.05,0.00427,7,0.002,0.001,0.6,1000
367005,16.25557135,Water,Pressure,0.0263058,3.56705747,5.891579198,0.0001356,0.01451,0.00056,7,0.0002,0.001,0.6,1000
360000,13.95306418,Water,Pressure,0.040915333,5.816140622,9.133557384,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
360000,13.95306418,Water,Pressure,0.040864298,5.808885891,9.125715408,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
360000,13.95306418,Water,Pressure,0.040237621,5.719803403,9.029171435,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
360000,13.95306418,Water,Pressure,0.039016921,5.546280117,8.839755713,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
360000,13.95306418,Water,Pressure,0.037230713,5.292369477,8.559221434,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
360000,13.95306418,Water,Pressure,0.036440159,5.179991817,8.433726115,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
360000,13.95306418,Water,Pressure,0.03602901,5.12154668,8.368123597,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
350000,15.87450787,Water,Pressure,0.046,5.106,10.50863162,0.000111,0.00866,0.0003,7,0.0001,0.001,0.6,1000
350000,15.87450787,Water,Pressure,0.049,5.39,10.897205,0.00011,0.00866,0.0003,7,0.0001,0.001,0.6,1000
345000,19.18923138,PAO-2,Pressure,0.084693878,1.178139603,5.316801429,0.000027,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
345000,17.4633246,PSF-3,Pressure,0.043265306,1.169900311,3.513966372,0.000027,0.004,0.00015,47,0.000049,0.00269,0.113,898
344000,13.5585854,FC-72,Pressure,0.005151,9.4649625,23.59931053,0.000051,0.005,0.0007,12,0.000049,0.00064,0.057,1680
344000,13.15385151,FC-72,Pressure,0.003794714,6.9727875,11.69606842,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
344000,12.74911762,FC-72,Pressure,0.001846857,3.3936,8.749136842,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
325888,15.31794242,Water,Pressure,0.02486362,3.47686878,5.272040327,0.000139838,0.01451,0.00056,7,0.0002,0.001,0.6,1000
307000,15.3629945,Water,Gas,0.010309,0.51545,1.111091667,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
307000,15.3629945,Water,Gas,0.00301222,0.150611,0.628829167,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.494504673,4.953934664,0.000226733,0.0101002,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.489174309,4.994655855,0.000224289,0.0129462,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.483843945,5.731605168,0.000221845,0.0279963,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.483082776,5.838776317,0.000221496,0.0301187,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.482321607,5.56274933,0.000221147,0.0250056,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.474707736,5.417849621,0.000217656,0.0229796,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.471660879,4.986006951,0.000216259,0.0150686,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.47089971,5.238468875,0.00021591,0.0198924,0.00064,7,0.0019635,0.001,0.6,1000
300000,13.3,Water,Pressure,0.002181,0.470138541,5.071693341,0.000215561,0.0180594,0.00064,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.22197,4.762065,0.00021,0.00503923,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.216685,4.668806667,0.000205,0.00700746,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.210343,4.532158667,0.000199,0.00994049,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.199773,4.254894,0.000189,0.0130356,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.197659,3.554558333,0.000187,0.0248669,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.193431,3.5534635,0.000183,0.022896,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.192374,4.034727667,0.000182,0.0150464,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.19026,3.72807,0.00018,0.0190721,0.00046,7,0.0019635,0.001,0.6,1000
300000,12.5,Water,Pressure,0.001057,0.189203,3.818726333,0.000179,0.0180643,0.00046,7,0.0019635,0.001,0.6,1000
300000,14.69693846,Water,Pressure,0.04,4.56,8.337352926,0.000114,0.00866,0.0003,7,0.0001,0.001,0.6,1000
300000,14.69693846,Water,Pressure,0.042,4.746,9.041897881,0.000113,0.00866,0.0003,7,0.0001,0.001,0.6,1000
300000,14.69693846,Water,Pressure,0.044,4.928,10.172904,0.000112,0.00866,0.0003,7,0.0001,0.001,0.6,1000
300000,17.1464282,R-134a,Pressure,0.000558301,0.149527461,1.37049375,0.00005,0.09,0.00051,13,0.0064,0.00023,0.01409,1232
300000,15.18683641,Water,Gas,0.0291623,1.458115,2.438641667,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
300000,15.18683641,Water,Gas,0.0095067,0.475335,1.500175,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
294199.5,14.55416229,Water,Pressure,0.00772075,1.047012956,4.30675601,0.00013561,0.02,0.00051,7,0.000314,0.001,0.6,1000
294199.5,14.55416229,Water,Pressure,0.00731321,0.991746349,4.158059354,0.00013561,0.018,0.00051,7,0.000314,0.001,0.6,1000
294199.5,14.55416229,Water,Pressure,0.00704151,0.954901039,4.049932769,0.00013561,0.018,0.00051,7,0.000314,0.001,0.6,1000
293000,15.00861086,Water,Gas,0.0221914,1.10957,2.327725,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
293000,15.00861086,Water,Gas,0.00991081,0.4955405,1.883675,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
293000,15.00861086,Water,Gas,0.00774885,0.3874425,1.672933333,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
293000,15.00861086,Water,Gas,0.00396689,0.1983445,1.352833333,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
293000,15.00861086,Water,Gas,0.0034117,0.170585,1.104191667,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
278585.1622,13.69058425,Water,Pressure,0.005,25.2664,78.24973287,0.00505328,0.254,0.007168443,7,0.00005,0.001,0.6,1000
275790,13.62172941,Water,Pressure,0.005,22.5322,73.91668482,0.00450644,0.254,0.007168443,7,0.00005,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0045,0.198,0.377624247,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0044,0.1936,0.37173032,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0043,0.1892,0.365796067,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0042,0.1848,0.359820262,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0041,0.1804,0.353801616,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.004,0.176,0.347738764,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0039,0.1716,0.341630265,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0038,0.1672,0.33547459,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0037,0.1628,0.329270118,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0036,0.1584,0.323015129,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0035,0.154,0.316707788,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0034,0.1496,0.310346145,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0033,0.1452,0.303928111,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0032,0.1408,0.297451455,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0031,0.1364,0.290913783,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.003,0.132,0.284312524,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0029,0.1276,0.277644907,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0028,0.1232,0.27090794,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0027,0.1188,0.264098386,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0026,0.1144,0.257212728,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0025,0.11,0.250247138,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0024,0.1056,0.24319743,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0023,0.1012,0.236059019,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
274800,14.76943601,Water,Pressure,0.0022,0.0968,0.228826854,0.000044,0.013,0.000491,7,0.0007,0.001,0.6,1000
272994.8378,13.55252474,Water,Pressure,0.005,20.3808,65.92158567,0.00407616,0.254,0.007168443,7,0.00005,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.036054422,4.957482993,25.145725,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.018027211,2.478741497,22.34063333,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.009013605,1.239370748,20.33698333,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.036054422,4.506802721,21.949,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.018027211,2.253401361,19.49,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.009013605,1.12670068,17.94175,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.036054422,4.146258503,19.60658,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.018027211,2.073129252,17.59561333,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
272000,15.16047493,Water,Pressure,0.009013605,1.036564626,16.00363,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
270199.6757,13.48296487,Water,Pressure,0.005,14.8703,49.52867256,0.00297406,0.254,0.007168443,7,0.00005,0.001,0.6,1000
267404.5135,13.41304427,Water,Pressure,0.005,6.21,33.73152074,0.001242,0.254,0.00414,7,0.00005,0.001,0.6,1000
264609.3514,13.34275727,Water,Pressure,0.005,6.48012,28.79719995,0.001296024,0.254,0.00432008,7,0.00005,0.001,0.6,1000
261814.1892,13.27209804,Water,Pressure,0.005,5.08016,25.33125725,0.001016032,0.254,0.003386773,7,0.00005,0.001,0.6,1000
260000,11.85782442,Water,Pressure,0.033935885,5.248222447,8.736628113,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
260000,11.85782442,Water,Pressure,0.033630807,5.20104177,8.682500223,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
260000,11.85782442,Water,Pressure,0.033287249,5.147910139,8.621361482,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
260000,11.85782442,Water,Pressure,0.031970337,4.944248232,8.385157679,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
260000,11.85782442,Water,Pressure,0.031872995,4.929194154,8.367579002,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
260000,11.85782442,Water,Pressure,0.030855383,4.771819453,8.182796695,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
260000,11.85782442,Water,Pressure,0.029390499,4.545273384,7.913420228,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
259019.027,13.20106062,Water,Pressure,0.005,5.69629,26.05698958,0.001139258,0.254,0.003797527,7,0.00005,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.0264885,1.324425,1.989866667,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.0231026,1.15513,1.830941667,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.0183126,0.91563,1.665458333,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.00795682,0.397841,1.269483333,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.00665891,0.3329455,1.036308333,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.00364739,0.1823695,0.675071667,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.00297434,0.148717,0.879825,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.0010099,0.050495,0.497551667,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
258000,14.0836927,Water,Gas,0.000758235,0.03791175,0.510390833,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
256223.8649,13.12963885,Water,Pressure,0.005,7.06241,32.29183717,0.001412482,0.254,0.004708273,7,0.00005,0.001,0.6,1000
253428.7027,13.05782643,Water,Pressure,0.005,4.27787,22.27584453,0.000855574,0.254,0.002851913,7,0.00005,0.001,0.6,1000
250633.5405,12.98561689,Water,Pressure,0.005,4.09748,20.44041566,0.000819496,0.254,0.002731653,7,0.00005,0.001,0.6,1000
250000,13.41640786,Water,Pressure,0.034,3.978,7.019563915,0.000117,0.00866,0.0003,7,0.0001,0.001,0.6,1000
250000,13.41640786,Water,Pressure,0.036,4.176,7.515224699,0.000116,0.00866,0.0003,7,0.0001,0.001,0.6,1000
250000,13.41640786,Water,Pressure,0.038,4.37,8.017798171,0.000115,0.00866,0.0003,7,0.0001,0.001,0.6,1000
247838.3784,12.91300356,Water,Pressure,0.005,3.50102,20.4538006,0.000700204,0.254,0.002334013,7,0.00005,0.001,0.6,1000
245043.2162,12.83997959,Water,Pressure,0.005,3.16722,19.59943865,0.000633444,0.254,0.00211148,7,0.00005,0.001,0.6,1000
244000,13.69624766,Water,Gas,0.00535062,0.267531,0.931341667,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
244000,13.69624766,Water,Gas,0.00245367,0.1226835,0.565095833,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
244000,13.69624766,Water,Gas,0.0019718,0.09859,0.526460833,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
244000,13.69624766,Water,Gas,0.00165093,0.0825465,0.5022675,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
242248.0541,12.76653793,Water,Pressure,0.005,3.16675,18.24143533,0.00063335,0.254,0.002111167,7,0.00005,0.001,0.6,1000
239452.8919,12.69267134,Water,Pressure,0.005,2.82464,19.053572,0.000564928,0.254,0.001883093,7,0.00005,0.001,0.6,1000
239061,12.02630055,Water,Pressure,0.00275,3.108481427,8.53113,0.001017321,0.03,0.00061,7,0.001963,0.0009,0.6,1000
239061,12.02630055,Water,Pressure,0.00275,2.976682326,8.53175,0.000974187,0.03,0.00061,7,0.001963,0.0009,0.6,1000
239061,12.02630055,Water,Pressure,0.00275,2.789132847,8.21906,0.000912807,0.03,0.00061,7,0.001963,0.0009,0.6,1000
239061,12.02630055,Water,Pressure,0.00275,2.484726064,8.09843,0.000813183,0.03,0.00061,7,0.001963,0.0009,0.6,1000
239061,12.02630055,Water,Pressure,0.00275,2.278366678,7.91965,0.000745647,0.03,0.00061,7,0.001963,0.0009,0.6,1000
239061,12.02630055,Water,Pressure,0.00275,2.104249214,7.68693,0.000688663,0.03,0.00061,7,0.001963,0.0009,0.6,1000
239061,12.02630055,Water,Pressure,0.00275,2.01499312,7.63013,0.000659452,0.03,0.00061,7,0.001963,0.0009,0.6,1000
236657.7297,12.61837234,Water,Pressure,0.005,2.78428,18.2512043,0.000556856,0.254,0.001856187,7,0.00005,0.001,0.6,1000
233862.5676,12.54363326,Water,Pressure,0.005,2.98961,15.35746073,0.000597922,0.254,0.001993073,7,0.00005,0.001,0.6,1000
231067.4054,12.46844619,Water,Pressure,0.005,2.4467,14.10128797,0.00048934,0.254,0.001631133,7,0.00005,0.001,0.6,1000
228272.2432,12.39280296,Water,Pressure,0.005,2.15088,13.13127309,0.000430176,0.254,0.00143392,7,0.00005,0.001,0.6,1000
225477.0811,12.31669518,Water,Pressure,0.005,2.00268,13.91179913,0.000400536,0.254,0.00133512,7,0.00005,0.001,0.6,1000
224000,13.1229265,Water,Gas,0.0153292,0.76646,1.478608333,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
224000,13.1229265,Water,Gas,0.0131876,0.65938,1.328366667,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
224000,13.1229265,Water,Gas,0.0116596,0.58298,1.207616667,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
224000,13.1229265,Water,Gas,0.00453922,0.226961,0.751156667,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
222681.9189,12.24011418,Water,Pressure,0.005,1.9736,11.8796203,0.00039472,0.254,0.001315733,7,0.00005,0.001,0.6,1000
219886.7568,12.16305101,Water,Pressure,0.005,1.6855,9.447030387,0.0003371,0.254,0.001123667,7,0.00005,0.001,0.6,1000
217091.5946,12.08549647,Water,Pressure,0.005,1.569,8.92230553,0.0003138,0.254,0.001046,7,0.00005,0.001,0.6,1000
215746.3,12.46343997,Water,Pressure,0.00883019,1.297626018,5.106457532,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
215746.3,12.46343997,Water,Pressure,0.00853585,1.254371768,4.959969532,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
215746.3,12.46343997,Water,Pressure,0.00824151,1.211117519,4.842774234,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
214296.4324,12.00744102,Water,Pressure,0.005,1.46081,9.185017892,0.000292162,0.254,0.000973873,7,0.00005,0.001,0.6,1000
211501.2703,11.92887483,Water,Pressure,0.005,1.23047,9.3245246,0.000246094,0.254,0.000820313,7,0.00005,0.001,0.6,1000
208706.1081,11.84978774,Water,Pressure,0.005,1.14545,8.93396997,0.00022909,0.254,0.000763633,7,0.00005,0.001,0.6,1000
207000,10.51768918,FC-72,Pressure,0.004025571,7.3969875,25.45854035,0.000058,0.005,0.0007,12,0.000049,0.00064,0.057,1680
207000,10.20372831,FC-72,Pressure,0.003131,5.7532125,10.94705263,0.00003,0.005,0.0007,12,0.000049,0.00064,0.057,1680
207000,9.889767439,FC-72,Pressure,0.001500571,2.7573,7.083947368,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
207000,13.52703307,PSF-3,Pressure,0.036122449,0.976756392,2.948877876,0.000027,0.004,0.00015,47,0.000049,0.00269,0.113,898
207000,14.86391471,PAO-2,Pressure,0.066122449,0.919800558,4.6629,0.000027,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
205910.9459,11.77016926,Water,Pressure,0.005,1.17841,7.963401035,0.000235682,0.254,0.000785607,7,0.00005,0.001,0.6,1000
203115.7838,11.69000853,Water,Pressure,0.005,1.00675,7.52373911,0.00020135,0.254,0.000671167,7,0.00005,0.001,0.6,1000
200320.6216,11.6092943,Water,Pressure,0.005,1.09702,7.740231126,0.000219404,0.254,0.000731347,7,0.00005,0.001,0.6,1000
200000,13,Water,Pressure,0.048464,107.9070346,188.4357911,0.00222654,0.05,0.0045,7,0.002,0.001,0.6,1000
200000,13,Water,Pressure,0.0282839,48.92944997,95.2418467,0.00172994,0.05,0.0045,7,0.002,0.001,0.6,1000
200000,13,Water,Pressure,0.0214513,24.99762892,48.47401026,0.00116532,0.05,0.0045,7,0.002,0.001,0.6,1000
200000,13,Water,Pressure,0.009375,8.979609375,21.22715801,0.000957825,0.05,0.0045,7,0.002,0.001,0.6,1000
200000,12.4,Water,Gas,0.00129102,0.064551,0.473640833,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
197525.4595,11.52801497,Water,Pressure,0.005,1.08119,6.900537213,0.000216238,0.254,0.000720793,7,0.00005,0.001,0.6,1000
196133,11.88342375,Water,Pressure,0.00998491,1.503987949,5.954776517,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
196133,11.88342375,Water,Pressure,0.00969057,1.459652666,5.774602609,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
196133,11.88342375,Water,Pressure,0.00935094,1.408495527,5.654478303,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
196133,11.88342375,Water,Pressure,0.00907925,1.367571925,5.474304395,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
195000,11.84905059,Water,Pressure,0.048464,102,179,0.002104655,0.05,0.00445,7,0.002,0.001,0.6,1000
195000,11.84905059,Water,Pressure,0.0282839,43,80,0.0015203,0.05,0.00445,7,0.002,0.001,0.6,1000
194730.2973,11.44615848,Water,Pressure,0.005,1.00642,6.424336429,0.000201284,0.254,0.000670947,7,0.00005,0.001,0.6,1000
191935.1351,11.36371237,Water,Pressure,0.005,0.812156,6.617412081,0.000162431,0.254,0.000541437,7,0.00005,0.001,0.6,1000
190000,11.69615321,Water,Pressure,0.048464,97,172,0.002001486,0.05,0.0044,7,0.002,0.001,0.6,1000
190000,11.69615321,Water,Pressure,0.0282839,37,72,0.001308165,0.05,0.0044,7,0.002,0.001,0.6,1000
189139.973,11.28066371,Water,Pressure,0.005,0.778001,6.431218449,0.0001556,0.254,0.000518667,7,0.00005,0.001,0.6,1000
186344.8108,11.19699909,Water,Pressure,0.005,0.703782,5.988086353,0.000140756,0.254,0.000469188,7,0.00005,0.001,0.6,1000
185000,11.54123044,Water,Pressure,0.048464,92,165,0.001898316,0.05,0.00435,7,0.002,0.001,0.6,1000
185000,11.54123044,Water,Pressure,0.0282839,32,61,0.001131386,0.05,0.00435,7,0.002,0.001,0.6,1000
183549.6486,11.1127046,Water,Pressure,0.005,0.645813,5.575165158,0.000129163,0.254,0.000430542,7,0.00005,0.001,0.6,1000
182403.69,11.45995885,Water,Pressure,0.0116604,1.789684871,7.016316563,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
182403.69,11.45995885,Water,Pressure,0.011366,1.744499181,6.786832397,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
182403.69,11.45995885,Water,Pressure,0.0110717,1.699328839,6.557348232,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
182403.69,11.45995885,Water,Pressure,0.0108,1.657627235,6.404350261,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
182403.69,11.45995885,Water,Pressure,0.0103472,1.588129678,6.236055052,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
180754.4865,11.0277658,Water,Pressure,0.005,0.636491,4.970363916,0.000127298,0.254,0.000424327,7,0.00005,0.001,0.6,1000
180000,11.38419958,Water,Pressure,0.048464,87,148,0.001795147,0.05,0.0043,7,0.002,0.001,0.6,1000
180000,11.38419958,Water,Pressure,0.0282839,27,52.55587101,0.000954607,0.05,0.0043,7,0.002,0.001,0.6,1000
179000,11.35253276,Water,Pressure,0.048464,85,178.5,0.001753879,0.05,0.00429,7,0.002,0.001,0.6,1000
179000,11.35253276,Water,Pressure,0.048464,84,177.24,0.001733245,0.05,0.00428,7,0.002,0.001,0.6,1000
179000,11.35253276,Water,Pressure,0.047887048,83,173.47,0.001733245,0.05,0.00427,7,0.002,0.001,0.6,1000
179000,11.35253276,Water,Pressure,0.048464,83,173.47,0.001712611,0.05,0.00427,7,0.002,0.001,0.6,1000
179000,11.35253276,Water,Pressure,0.047887048,82,164,0.001712363,0.05,0.00427,7,0.002,0.001,0.6,1000
179000,11.35253276,Water,Pressure,0.046719071,80,144,0.001712363,0.05,0.00427,7,0.002,0.001,0.6,1000
177959.3243,10.94216767,Water,Pressure,0.005,0.592566,4.971851133,0.000118513,0.254,0.000395044,7,0.00005,0.001,0.6,1000
175164.1622,10.85589463,Water,Pressure,0.005,0.520998,4.974504793,0.0001042,0.254,0.000347332,7,0.00005,0.001,0.6,1000
172369,10.76893046,Water,Pressure,0.005,0.535972,4.370840834,0.000107194,0.254,0.000357315,7,0.00005,0.001,0.6,1000
162000,10.8,Water,Pressure,0.002210487,0.176838959,4.770253333,0.00008,0.0331788,0.0002,7,0.000452389,0.001,0.6,1000
162000,10.8,Water,Pressure,0.002210487,0.176838959,4.723773333,0.00008,0.0362162,0.0002,7,0.000452389,0.001,0.6,1000
162000,10.8,Water,Pressure,0.002210487,0.176838959,4.686586667,0.00008,0.039051,0.0002,7,0.000452389,0.001,0.6,1000
162000,10.8,Water,Pressure,0.002210487,0.176838959,4.584333333,0.00008,0.0420897,0.0002,7,0.000452389,0.001,0.6,1000
162000,10.8,Water,Pressure,0.002210487,0.176838959,4.454186667,0.00008,0.0458375,0.0002,7,0.000452389,0.001,0.6,1000
